# material=Te density=6.24
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 5.008518e-03
1.016170e+01 5.076864e-03
1.032610e+01 5.146179e-03
1.049310e+01 5.216407e-03
1.066280e+01 5.287603e-03
1.083530e+01 5.385796e-03
1.101060e+01 5.502932e-03
1.118860e+01 5.622542e-03
1.136960e+01 5.744819e-03
1.155350e+01 5.882643e-03
1.174040e+01 6.030312e-03
1.193030e+01 6.181672e-03
1.212320e+01 6.340427e-03
1.231930e+01 6.513155e-03
1.251860e+01 6.690603e-03
1.272100e+01 6.872815e-03
1.292680e+01 7.054221e-03
1.313590e+01 7.237345e-03
1.334830e+01 7.425169e-03
1.356420e+01 7.617924e-03
1.378360e+01 8.049405e-03
1.400660e+01 8.539042e-03
1.423310e+01 9.030969e-03
1.446330e+01 9.530778e-03
1.469730e+01 1.009719e-02
1.493500e+01 1.073214e-02
1.517650e+01 1.140698e-02
1.542200e+01 1.207100e-02
1.567140e+01 1.276762e-02
1.592490e+01 1.345221e-02
1.618250e+01 1.401340e-02
1.644420e+01 1.459795e-02
1.671020e+01 1.520695e-02
1.698050e+01 1.588989e-02
1.725510e+01 1.672470e-02
1.753420e+01 1.760342e-02
1.781780e+01 1.852832e-02
1.810600e+01 1.949391e-02
1.839890e+01 2.050179e-02
1.869640e+01 2.156157e-02
1.899880e+01 2.267621e-02
1.930610e+01 2.385726e-02
1.961840e+01 2.515226e-02
1.993570e+01 2.651747e-02
2.025820e+01 2.858046e-02
2.058580e+01 3.108474e-02
2.091880e+01 3.360536e-02
2.125710e+01 3.627195e-02
2.160090e+01 3.863994e-02
2.195030e+01 4.116263e-02
2.230530e+01 4.409653e-02
2.266610e+01 4.737572e-02
2.303270e+01 5.217690e-02
2.340530e+01 5.766069e-02
2.378380e+01 6.130224e-02
2.416850e+01 6.517405e-02
2.455940e+01 6.966254e-02
2.495660e+01 7.564815e-02
2.536030e+01 8.239811e-02
2.577050e+01 9.021391e-02
2.618730e+01 9.809210e-02
2.661090e+01 1.049851e-01
2.704130e+01 1.123703e-01
2.747860e+01 1.206230e-01
2.792310e+01 1.294810e-01
2.837470e+01 1.410308e-01
2.883370e+01 1.553667e-01
2.930000e+01 1.685721e-01
2.977390e+01 1.764719e-01
3.025550e+01 1.847427e-01
3.074490e+01 1.941909e-01
3.124210e+01 2.050331e-01
3.174750e+01 2.168430e-01
3.226090e+01 2.307653e-01
3.278270e+01 2.444977e-01
3.331300e+01 2.520091e-01
3.385180e+01 2.597510e-01
3.439930e+01 2.677307e-01
3.495570e+01 2.739036e-01
3.552110e+01 2.800518e-01
3.609560e+01 2.863382e-01
3.667940e+01 2.911485e-01
3.727270e+01 2.953937e-01
3.787550e+01 2.996994e-01
3.848820e+01 3.039842e-01
3.911070e+01 3.077359e-01
3.974320e+01 3.115323e-01
4.038610e+01 3.129332e-01
4.103930e+01 3.116385e-01
4.170310e+01 2.473669e-01
4.237760e+01 1.128647e-01
4.306300e+01 5.867314e-02
4.375950e+01 6.550646e-02
4.446730e+01 7.602151e-02
4.518650e+01 8.699950e-02
4.591740e+01 9.727712e-02
4.666000e+01 9.841656e-02
4.741470e+01 8.663177e-02
4.818160e+01 7.698450e-02
4.896090e+01 7.041267e-02
4.975280e+01 6.450105e-02
5.055760e+01 5.925090e-02
5.137530e+01 5.442797e-02
5.220620e+01 4.955772e-02
5.305060e+01 4.495571e-02
5.390870e+01 4.232046e-02
5.478060e+01 3.985602e-02
5.566670e+01 3.756847e-02
5.656700e+01 3.544079e-02
5.748200e+01 3.343358e-02
5.841170e+01 3.127747e-02
