# material=Th density=11.724
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 1.494213e-02
1.016170e+01 1.541385e-02
1.032610e+01 1.590054e-02
1.049310e+01 1.640252e-02
1.066280e+01 1.692034e-02
1.083530e+01 1.745461e-02
1.101060e+01 1.800569e-02
1.118860e+01 1.857402e-02
1.136960e+01 1.916050e-02
1.155350e+01 1.983030e-02
1.174040e+01 2.074329e-02
1.193030e+01 2.169838e-02
1.212320e+01 2.269722e-02
1.231930e+01 2.374227e-02
1.251860e+01 2.479563e-02
1.272100e+01 2.572156e-02
1.292680e+01 2.668220e-02
1.313590e+01 2.767876e-02
1.334830e+01 2.871236e-02
1.356420e+01 2.990127e-02
1.378360e+01 3.114636e-02
1.400660e+01 3.244350e-02
1.423310e+01 3.387999e-02
1.446330e+01 3.561489e-02
1.469730e+01 3.743891e-02
1.493500e+01 3.935594e-02
1.517650e+01 4.092791e-02
1.542200e+01 4.242657e-02
1.567140e+01 4.398011e-02
1.592490e+01 4.434596e-02
1.618250e+01 4.455678e-02
1.644420e+01 4.475906e-02
1.671020e+01 4.407485e-02
1.698050e+01 4.335289e-02
1.725510e+01 4.215317e-02
1.753420e+01 4.074290e-02
1.781780e+01 3.906307e-02
1.810600e+01 3.745246e-02
1.839890e+01 3.374048e-02
1.869640e+01 2.882835e-02
1.899880e+01 2.405651e-02
1.930610e+01 1.992149e-02
1.961840e+01 1.649728e-02
1.993570e+01 1.419719e-02
2.025820e+01 1.307150e-02
2.058580e+01 1.206448e-02
2.091880e+01 1.168994e-02
2.125710e+01 1.132696e-02
2.160090e+01 1.097527e-02
2.195030e+01 1.063452e-02
2.230530e+01 1.045159e-02
2.266610e+01 1.035672e-02
2.303270e+01 1.026281e-02
2.340530e+01 1.016967e-02
2.378380e+01 1.007737e-02
2.416850e+01 1.003728e-02
2.455940e+01 1.000266e-02
2.495660e+01 9.968140e-03
2.536030e+01 9.933754e-03
2.577050e+01 9.899529e-03
2.618730e+01 9.977335e-03
2.661090e+01 1.009172e-02
2.704130e+01 1.020745e-02
2.747860e+01 1.032446e-02
2.792310e+01 1.044284e-02
2.837470e+01 1.056251e-02
2.883370e+01 1.070085e-02
2.930000e+01 1.087588e-02
2.977390e+01 1.105388e-02
3.025550e+01 1.123472e-02
3.074490e+01 1.141861e-02
3.124210e+01 1.160538e-02
3.174750e+01 1.179536e-02
3.226090e+01 1.198828e-02
3.278270e+01 1.218450e-02
3.331300e+01 1.263837e-02
3.385180e+01 1.315507e-02
3.439930e+01 1.369299e-02
3.495570e+01 1.425283e-02
3.552110e+01 1.483550e-02
3.609560e+01 1.544212e-02
3.667940e+01 1.607347e-02
3.727270e+01 1.679766e-02
3.787550e+01 1.756117e-02
3.848820e+01 1.835952e-02
3.911070e+01 1.919402e-02
3.974320e+01 2.006642e-02
