# material=Ti density=4.507
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 1.664086e-02
1.014280e+01 1.659639e-02
1.030680e+01 1.654604e-02
1.047350e+01 1.649594e-02
1.064290e+01 1.644603e-02
1.081510e+01 1.639630e-02
1.099000e+01 1.625536e-02
1.116770e+01 1.608266e-02
1.134840e+01 1.591199e-02
1.153190e+01 1.574292e-02
1.171840e+01 1.557569e-02
1.190800e+01 1.541039e-02
1.210060e+01 1.524671e-02
1.229630e+01 1.508482e-02
1.249520e+01 1.492652e-02
1.269730e+01 1.482359e-02
1.290260e+01 1.472136e-02
1.311130e+01 1.461990e-02
1.332340e+01 1.451919e-02
1.353890e+01 1.441914e-02
1.375790e+01 1.431980e-02
1.398040e+01 1.429941e-02
1.420650e+01 1.446028e-02
1.443630e+01 1.462301e-02
1.466980e+01 1.478754e-02
1.490710e+01 1.495394e-02
1.514820e+01 1.512217e-02
1.539320e+01 1.529229e-02
1.564220e+01 1.546436e-02
1.589520e+01 1.563834e-02
1.615230e+01 1.581429e-02
1.641350e+01 1.599217e-02
1.667900e+01 1.617213e-02
1.694870e+01 1.648143e-02
1.722290e+01 1.684445e-02
1.750140e+01 1.721536e-02
1.778450e+01 1.759457e-02
1.807220e+01 1.798211e-02
1.836450e+01 1.837816e-02
1.866150e+01 1.878284e-02
1.896330e+01 1.951622e-02
1.927010e+01 2.032629e-02
1.958170e+01 2.116980e-02
1.989850e+01 2.204855e-02
2.022030e+01 2.296354e-02
2.054730e+01 2.425654e-02
2.087970e+01 2.575520e-02
2.121740e+01 2.734627e-02
2.156060e+01 2.903591e-02
2.190930e+01 3.082959e-02
2.226370e+01 3.222794e-02
2.262370e+01 3.313139e-02
2.298970e+01 3.406047e-02
2.336150e+01 3.501520e-02
2.373940e+01 3.599697e-02
2.412330e+01 3.700597e-02
2.451350e+01 3.804343e-02
2.491000e+01 3.911017e-02
2.531290e+01 4.025383e-02
2.572230e+01 4.160854e-02
2.613830e+01 4.300891e-02
2.656110e+01 4.445642e-02
2.699070e+01 4.595255e-02
2.742730e+01 4.749915e-02
2.787090e+01 4.909783e-02
2.832170e+01 5.073153e-02
2.877970e+01 5.231945e-02
2.924520e+01 5.395738e-02
2.971830e+01 5.564625e-02
3.019890e+01 5.738831e-02
3.068740e+01 5.918471e-02
3.118370e+01 6.103741e-02
3.168810e+01 6.294785e-02
3.202890e+01 6.425499e-02
3.245660e+01 4.682160e-02
3.289000e+01 3.472331e-02
3.331750e+01 2.695541e-02
3.385640e+01 2.386589e-02
3.440400e+01 2.180294e-02
3.496040e+01 2.126047e-02
3.552590e+01 2.047322e-02
3.610050e+01 1.828796e-02
3.668440e+01 1.633591e-02
3.727770e+01 1.456861e-02
3.788070e+01 1.257147e-02
3.849340e+01 1.085651e-02
3.911600e+01 9.749489e-03
3.974860e+01 8.755381e-03
4.039150e+01 7.866437e-03
4.104480e+01 7.072793e-03
4.170870e+01 6.782468e-03
4.238330e+01 6.645374e-03
4.306880e+01 6.511013e-03
4.376540e+01 6.379373e-03
4.447330e+01 6.360816e-03
4.519260e+01 6.360819e-03
4.592360e+01 6.360837e-03
4.666640e+01 6.360848e-03
4.742110e+01 6.472666e-03
4.818810e+01 6.586439e-03
4.896750e+01 6.702225e-03
4.975960e+01 7.053656e-03
5.056440e+01 7.613303e-03
5.138220e+01 8.217341e-03
5.221330e+01 9.093633e-03
5.305780e+01 1.025366e-02
5.391600e+01 1.156161e-02
5.478800e+01 1.324736e-02
5.567420e+01 1.517877e-02
5.657460e+01 1.739181e-02
5.748970e+01 2.094498e-02
5.841950e+01 2.522391e-02
5.936440e+01 2.770372e-02
6.032460e+01 2.996380e-02
6.130030e+01 3.240823e-02
6.229180e+01 3.517734e-02
6.329930e+01 3.919466e-02
6.432310e+01 4.367071e-02
6.536350e+01 4.708141e-02
