# material=Tl density=11.85
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 2.272117e-02
1.016170e+01 2.372473e-02
1.032610e+01 2.495667e-02
1.049310e+01 2.695665e-02
1.066280e+01 2.980652e-02
1.083530e+01 3.187205e-02
1.101060e+01 3.435835e-02
1.118860e+01 3.796802e-02
1.136960e+01 4.114460e-02
1.155350e+01 4.409709e-02
1.174040e+01 4.633663e-02
1.193030e+01 4.671367e-02
1.212320e+01 4.709332e-02
1.231930e+01 4.599293e-02
1.251860e+01 4.458811e-02
1.272100e+01 4.064467e-02
1.292680e+01 3.643718e-02
1.313590e+01 3.275618e-02
1.334830e+01 2.920641e-02
1.356420e+01 2.596807e-02
1.378360e+01 2.416158e-02
1.400660e+01 2.261830e-02
1.423310e+01 2.117335e-02
1.446330e+01 2.046204e-02
1.469730e+01 2.009550e-02
1.493500e+01 1.973542e-02
1.517650e+01 1.955713e-02
1.542200e+01 1.942098e-02
1.567140e+01 1.973729e-02
1.592490e+01 2.009534e-02
1.618250e+01 2.044602e-02
1.644420e+01 2.065480e-02
1.671020e+01 2.086582e-02
1.698050e+01 2.107902e-02
1.725510e+01 2.129426e-02
1.753420e+01 2.136301e-02
1.781780e+01 2.137716e-02
1.810600e+01 2.139125e-02
1.839890e+01 2.140541e-02
1.869640e+01 2.141944e-02
1.899880e+01 2.143357e-02
1.930610e+01 2.144771e-02
1.961840e+01 2.146192e-02
1.993570e+01 2.128584e-02
2.025820e+01 2.099403e-02
2.058580e+01 2.070607e-02
2.091880e+01 2.042218e-02
2.125710e+01 2.014205e-02
2.160090e+01 1.986586e-02
2.195030e+01 1.958996e-02
2.230530e+01 1.920485e-02
2.266610e+01 1.882733e-02
2.303270e+01 1.845720e-02
2.340530e+01 1.809442e-02
2.378380e+01 1.773868e-02
2.416850e+01 1.738997e-02
2.455940e+01 1.704810e-02
2.495660e+01 1.671294e-02
2.536030e+01 1.638442e-02
2.577050e+01 1.606235e-02
2.618730e+01 1.572372e-02
2.661090e+01 1.537834e-02
2.704130e+01 1.504050e-02
2.747860e+01 1.471005e-02
2.792310e+01 1.438691e-02
2.837470e+01 1.407084e-02
2.883370e+01 1.376176e-02
2.930000e+01 1.348749e-02
2.977390e+01 1.323407e-02
3.025550e+01 1.298544e-02
3.074490e+01 1.274147e-02
3.124210e+01 1.250208e-02
3.174750e+01 1.226717e-02
3.226090e+01 1.203673e-02
3.278270e+01 1.183798e-02
3.331300e+01 1.167403e-02
3.385180e+01 1.151234e-02
3.439930e+01 1.135283e-02
3.495570e+01 1.119561e-02
3.552110e+01 1.104049e-02
3.609560e+01 1.088757e-02
3.667940e+01 1.077294e-02
3.727270e+01 1.069640e-02
3.787550e+01 1.062043e-02
3.848820e+01 1.054494e-02
3.911070e+01 1.047005e-02
3.974320e+01 1.039561e-02
4.038610e+01 1.032376e-02
4.103930e+01 1.028654e-02
4.170310e+01 1.024934e-02
4.237760e+01 1.021236e-02
4.306300e+01 1.017549e-02
4.375950e+01 1.013871e-02
4.446730e+01 1.010215e-02
4.518650e+01 1.006564e-02
