# material=Tm density=9.321
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 2.403762e-01
1.016170e+01 2.384293e-01
1.032610e+01 2.365005e-01
1.049310e+01 2.345847e-01
1.066280e+01 2.326850e-01
1.083530e+01 2.308023e-01
1.101060e+01 2.289352e-01
1.118860e+01 2.270794e-01
1.136960e+01 2.252422e-01
1.155350e+01 2.234183e-01
1.174040e+01 2.217498e-01
1.193030e+01 2.201898e-01
1.212320e+01 2.186402e-01
1.231930e+01 2.171023e-01
1.251860e+01 2.135653e-01
1.272100e+01 2.099713e-01
1.292680e+01 2.064402e-01
1.313590e+01 2.028151e-01
1.334830e+01 1.991040e-01
1.356420e+01 1.954617e-01
1.378360e+01 1.918868e-01
1.400660e+01 1.883776e-01
1.423310e+01 1.853232e-01
1.446330e+01 1.823434e-01
1.469730e+01 1.794121e-01
1.493500e+01 1.770255e-01
1.517650e+01 1.757511e-01
1.542200e+01 1.744872e-01
1.567140e+01 1.732311e-01
1.592490e+01 1.708789e-01
1.618250e+01 1.681525e-01
1.644420e+01 1.654690e-01
1.671020e+01 1.628289e-01
1.698050e+01 1.607700e-01
1.725510e+01 1.589613e-01
1.753420e+01 1.571736e-01
1.781780e+01 1.556161e-01
1.810600e+01 1.546317e-01
1.839890e+01 1.536534e-01
1.869640e+01 1.524653e-01
1.899880e+01 1.505418e-01
1.930610e+01 1.486424e-01
1.961840e+01 1.466399e-01
1.993570e+01 1.439741e-01
2.025820e+01 1.413570e-01
2.058580e+01 1.397798e-01
2.091880e+01 1.386694e-01
2.125710e+01 1.375675e-01
2.160090e+01 1.364991e-01
2.195030e+01 1.354712e-01
2.230530e+01 1.344505e-01
2.266610e+01 1.333677e-01
2.303270e+01 1.282740e-01
2.340530e+01 1.233752e-01
2.378380e+01 1.166856e-01
2.416850e+01 1.069665e-01
2.455940e+01 9.797491e-02
2.495660e+01 8.853483e-02
2.536030e+01 7.987416e-02
2.577050e+01 6.467947e-02
2.618730e+01 4.466679e-02
2.661090e+01 3.958823e-02
2.704130e+01 3.205011e-02
2.747860e+01 2.784322e-02
2.792310e+01 2.500595e-02
2.837470e+01 2.230988e-02
2.883370e+01 2.003809e-02
2.930000e+01 1.836639e-02
2.977390e+01 1.690504e-02
3.025550e+01 1.560810e-02
3.074490e+01 1.508278e-02
3.124210e+01 1.467710e-02
3.174750e+01 1.440687e-02
3.226090e+01 1.414608e-02
3.278270e+01 1.401319e-02
3.331300e+01 1.401358e-02
3.385180e+01 1.401399e-02
3.439930e+01 1.403891e-02
3.495570e+01 1.406934e-02
3.552110e+01 1.409979e-02
3.609560e+01 1.424800e-02
3.667940e+01 1.443610e-02
3.727270e+01 1.461991e-02
3.787550e+01 1.478700e-02
3.848820e+01 1.495625e-02
3.911070e+01 1.523182e-02
3.974320e+01 1.566298e-02
4.038610e+01 1.610841e-02
4.103930e+01 1.657058e-02
4.170310e+01 1.704684e-02
4.237760e+01 1.758322e-02
4.306300e+01 1.813649e-02
4.375950e+01 1.853623e-02
4.446730e+01 1.892913e-02
4.518650e+01 1.933043e-02
4.591740e+01 1.974016e-02
4.666000e+01 2.008808e-02
4.741470e+01 2.043321e-02
4.818160e+01 2.078423e-02
4.896090e+01 2.122679e-02
4.975280e+01 2.178674e-02
5.055760e+01 2.236154e-02
5.137530e+01 2.293071e-02
5.220620e+01 2.343016e-02
5.305060e+01 2.394052e-02
5.390870e+01 2.446204e-02
5.478060e+01 2.500323e-02
5.566670e+01 2.556283e-02
5.656700e+01 2.613490e-02
5.748200e+01 2.671984e-02
5.841170e+01 2.730116e-02
5.935640e+01 2.788955e-02
6.031650e+01 2.849070e-02
6.129210e+01 2.903460e-02
6.228340e+01 2.955790e-02
6.329080e+01 3.009062e-02
6.431450e+01 3.062187e-02
6.535470e+01 3.099369e-02
6.641180e+01 3.137004e-02
6.748590e+01 3.175089e-02
6.857750e+01 3.213501e-02
6.968670e+01 3.251895e-02
7.081380e+01 3.290742e-02
7.195910e+01 3.330057e-02
7.312300e+01 3.369841e-02
7.430570e+01 3.402718e-02
7.550760e+01 3.434511e-02
7.672890e+01 3.466599e-02
7.796990e+01 3.498986e-02
7.923100e+01 3.534181e-02
8.051250e+01 3.571154e-02
8.181470e+01 3.608511e-02
8.313800e+01 3.646258e-02
8.448270e+01 3.681295e-02
8.584910e+01 3.707419e-02
8.723770e+01 3.733741e-02
8.864870e+01 3.760240e-02
9.008250e+01 3.786933e-02
9.153950e+01 3.802532e-02
9.302010e+01 3.812702e-02
9.452460e+01 3.827274e-02
9.605350e+01 3.860255e-02
9.760710e+01 3.893519e-02
9.918580e+01 3.927069e-02
1.007900e+02 3.960873e-02
1.024200e+02 3.995002e-02
1.040770e+02 4.029420e-02
1.057600e+02 4.064147e-02
1.074710e+02 4.099175e-02
1.092090e+02 4.134454e-02
1.109750e+02 4.154749e-02
1.127700e+02 4.133245e-02
1.145940e+02 4.111850e-02
1.164480e+02 4.143442e-02
1.183310e+02 4.190398e-02
1.202450e+02 4.235715e-02
1.221900e+02 4.279275e-02
1.241660e+02 4.323272e-02
1.261750e+02 4.367764e-02
1.282150e+02 4.403029e-02
1.302890e+02 4.433214e-02
1.323970e+02 4.463648e-02
1.345380e+02 4.532069e-02
1.367140e+02 4.610563e-02
1.389250e+02 4.690452e-02
1.411720e+02 4.709792e-02
1.434560e+02 4.725811e-02
1.457760e+02 4.807754e-02
1.481340e+02 4.891177e-02
1.505300e+02 5.043442e-02
1.529640e+02 5.205741e-02
1.554390e+02 5.373316e-02
1.579530e+02 5.749951e-02
1.605070e+02 6.231964e-02
1.631030e+02 6.707660e-02
1.657420e+02 7.461584e-02
1.684220e+02 8.212781e-02
1.711460e+02 5.893440e-02
1.739150e+02 2.343217e-02
1.767270e+02 2.618946e-02
1.795860e+02 3.024273e-02
1.824910e+02 3.473210e-02
1.854420e+02 3.881447e-02
1.884420e+02 4.201920e-02
1.914890e+02 4.382980e-02
1.945870e+02 4.512184e-02
1.977340e+02 4.645231e-02
2.009320e+02 4.782258e-02
2.041820e+02 4.867059e-02
2.074850e+02 4.939914e-02
2.108400e+02 4.998571e-02
2.142510e+02 5.057862e-02
2.177160e+02 5.117474e-02
2.212370e+02 5.177349e-02
2.248160e+02 5.237796e-02
2.284520e+02 5.298946e-02
2.321470e+02 5.360892e-02
2.359020e+02 5.426192e-02
2.397170e+02 5.495513e-02
2.435950e+02 5.569830e-02
2.475350e+02 5.645114e-02
2.515380e+02 5.721377e-02
2.556070e+02 5.798648e-02
2.597410e+02 5.879703e-02
2.639420e+02 5.969780e-02
2.682110e+02 6.070256e-02
2.725490e+02 6.172263e-02
2.769570e+02 6.276015e-02
2.814370e+02 6.381530e-02
2.859890e+02 6.491992e-02
2.906150e+02 6.605462e-02
2.953150e+02 6.722081e-02
3.000920e+02 6.841085e-02
3.049450e+02 6.962108e-02
3.098780e+02 7.085060e-02
3.148900e+02 7.210219e-02
3.199830e+02 7.337642e-02
