# material=U density=19.05
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 1.825022e-02
1.016170e+01 1.870838e-02
1.032610e+01 1.917812e-02
1.049310e+01 1.966801e-02
1.066280e+01 2.022471e-02
1.083530e+01 2.079727e-02
1.101060e+01 2.138617e-02
1.118860e+01 2.199142e-02
1.136960e+01 2.261408e-02
1.155350e+01 2.325416e-02
1.174040e+01 2.389763e-02
1.193030e+01 2.453341e-02
1.212320e+01 2.518597e-02
1.231930e+01 2.585604e-02
1.251860e+01 2.654395e-02
1.272100e+01 2.725001e-02
1.292680e+01 2.797502e-02
1.313590e+01 2.871911e-02
1.334830e+01 2.948306e-02
1.356420e+01 3.028045e-02
1.378360e+01 3.111173e-02
1.400660e+01 3.196596e-02
1.423310e+01 3.284336e-02
1.446330e+01 3.374483e-02
1.469730e+01 3.467110e-02
1.493500e+01 3.562296e-02
1.517650e+01 3.656911e-02
1.542200e+01 3.753101e-02
1.567140e+01 3.851804e-02
1.592490e+01 3.953116e-02
1.618250e+01 4.057117e-02
1.644420e+01 4.153202e-02
1.671020e+01 4.209999e-02
1.698050e+01 4.267598e-02
1.725510e+01 4.278989e-02
1.753420e+01 4.242060e-02
1.781780e+01 4.187271e-02
1.810600e+01 3.873312e-02
1.839890e+01 3.536330e-02
1.869640e+01 3.093074e-02
1.899880e+01 2.293431e-02
1.930610e+01 1.626813e-02
1.961840e+01 1.153959e-02
1.993570e+01 9.849631e-03
2.025820e+01 8.670251e-03
2.058580e+01 8.238302e-03
2.091880e+01 7.827905e-03
2.125710e+01 7.530745e-03
2.160090e+01 7.283630e-03
2.195030e+01 7.044638e-03
2.230530e+01 6.855171e-03
2.266610e+01 6.746414e-03
2.303270e+01 6.639347e-03
2.340530e+01 6.534064e-03
2.378380e+01 6.430367e-03
2.416850e+01 6.328321e-03
2.455940e+01 6.271133e-03
2.495660e+01 6.256240e-03
2.536030e+01 6.241359e-03
2.577050e+01 6.226556e-03
2.618730e+01 6.211714e-03
2.661090e+01 6.196996e-03
2.704130e+01 6.182266e-03
2.747860e+01 6.194767e-03
2.792310e+01 6.273778e-03
2.837470e+01 6.353801e-03
2.883370e+01 6.434843e-03
2.930000e+01 6.516915e-03
2.977390e+01 6.600023e-03
3.025550e+01 6.684225e-03
3.074490e+01 6.774302e-03
3.124210e+01 6.865565e-03
3.174750e+01 6.958141e-03
3.226090e+01 7.051873e-03
3.278270e+01 7.146940e-03
3.331300e+01 7.243246e-03
3.385180e+01 7.340884e-03
3.439930e+01 7.439834e-03
3.495570e+01 7.540235e-03
3.552110e+01 7.641988e-03
3.609560e+01 7.745103e-03
