# material=V density=6.11
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 1.861097e-02
1.016170e+01 1.800763e-02
1.032610e+01 1.742406e-02
1.049310e+01 1.685929e-02
1.066280e+01 1.631284e-02
1.083530e+01 1.578416e-02
1.101060e+01 1.527269e-02
1.118860e+01 1.477751e-02
1.136960e+01 1.432465e-02
1.155350e+01 1.397669e-02
1.174040e+01 1.363724e-02
1.193030e+01 1.330600e-02
1.212320e+01 1.298267e-02
1.231930e+01 1.266733e-02
1.251860e+01 1.242825e-02
1.272100e+01 1.227885e-02
1.292680e+01 1.213140e-02
1.313590e+01 1.198565e-02
1.334830e+01 1.184156e-02
1.356420e+01 1.169931e-02
1.378360e+01 1.156375e-02
1.400660e+01 1.143787e-02
1.423310e+01 1.131331e-02
1.446330e+01 1.119926e-02
1.469730e+01 1.123559e-02
1.493500e+01 1.127196e-02
1.517650e+01 1.130845e-02
1.542200e+01 1.120668e-02
1.567140e+01 1.105803e-02
1.592490e+01 1.091134e-02
1.618250e+01 1.076663e-02
1.644420e+01 1.076175e-02
1.671020e+01 1.077332e-02
1.698050e+01 1.078492e-02
1.725510e+01 1.079652e-02
1.753420e+01 1.080814e-02
1.781780e+01 1.081976e-02
1.810600e+01 1.096587e-02
1.839890e+01 1.119016e-02
1.869640e+01 1.141894e-02
1.899880e+01 1.165249e-02
1.930610e+01 1.189080e-02
1.961840e+01 1.213400e-02
1.993570e+01 1.238212e-02
2.025820e+01 1.269549e-02
2.058580e+01 1.315978e-02
2.091880e+01 1.364113e-02
2.125710e+01 1.413999e-02
2.160090e+01 1.465715e-02
2.195030e+01 1.524626e-02
2.230530e+01 1.592482e-02
2.266610e+01 1.663209e-02
2.303270e+01 1.733714e-02
2.340530e+01 1.807212e-02
2.378380e+01 1.883811e-02
2.416850e+01 1.951232e-02
2.455940e+01 2.017877e-02
2.495660e+01 2.086797e-02
2.536030e+01 2.159877e-02
2.577050e+01 2.235166e-02
2.618730e+01 2.313085e-02
2.661090e+01 2.393721e-02
2.704130e+01 2.477163e-02
2.747860e+01 2.590981e-02
2.792310e+01 2.722219e-02
2.837470e+01 2.860099e-02
2.883370e+01 3.004969e-02
2.930000e+01 3.127866e-02
2.977390e+01 3.218656e-02
3.025550e+01 3.312083e-02
3.074490e+01 3.406215e-02
3.124210e+01 3.437083e-02
3.174750e+01 3.468227e-02
3.226090e+01 3.499653e-02
3.278270e+01 3.502467e-02
3.331300e+01 3.469417e-02
3.385180e+01 3.436671e-02
3.439930e+01 3.404236e-02
3.495570e+01 3.372119e-02
3.552110e+01 3.337672e-02
3.609560e+01 3.237004e-02
3.667940e+01 3.139376e-02
3.727270e+01 3.044688e-02
3.787550e+01 2.952866e-02
3.848820e+01 2.803284e-02
3.911070e+01 2.628347e-02
3.974320e+01 2.464313e-02
4.038610e+01 2.266019e-02
4.103930e+01 2.039203e-02
4.170310e+01 1.835090e-02
4.237760e+01 1.681334e-02
4.306300e+01 1.540752e-02
4.375950e+01 1.449715e-02
4.446730e+01 1.382920e-02
4.518650e+01 1.330539e-02
4.591740e+01 1.295977e-02
4.666000e+01 1.262309e-02
4.741470e+01 1.236903e-02
4.818160e+01 1.229654e-02
4.896090e+01 1.252702e-02
4.975280e+01 1.276181e-02
5.055760e+01 1.300101e-02
5.137530e+01 1.324467e-02
5.220620e+01 1.351074e-02
5.305060e+01 1.379454e-02
5.390870e+01 1.408434e-02
5.478060e+01 1.438020e-02
5.566670e+01 1.493397e-02
5.656700e+01 1.559668e-02
5.748200e+01 1.628888e-02
5.841170e+01 1.701175e-02
5.935640e+01 1.776668e-02
6.031650e+01 1.867509e-02
6.129210e+01 1.963040e-02
6.228340e+01 2.063452e-02
6.329080e+01 2.160258e-02
6.431450e+01 2.252310e-02
6.535470e+01 2.344478e-02
6.641180e+01 2.433645e-02
6.748590e+01 2.526204e-02
6.857750e+01 2.622282e-02
6.968670e+01 2.722015e-02
7.081380e+01 2.825538e-02
7.195910e+01 2.932997e-02
7.312300e+01 3.044547e-02
7.430570e+01 3.163615e-02
7.550760e+01 3.287949e-02
7.672890e+01 3.417162e-02
7.796990e+01 3.528675e-02
7.923100e+01 3.605224e-02
8.051250e+01 3.683432e-02
8.181470e+01 3.763342e-02
8.313800e+01 3.844984e-02
8.448270e+01 3.928393e-02
8.584910e+01 4.013623e-02
8.723770e+01 4.100691e-02
8.864870e+01 4.162622e-02
9.008250e+01 4.214875e-02
9.153950e+01 4.267787e-02
9.302010e+01 4.321370e-02
9.452460e+01 4.375618e-02
9.605350e+01 4.430554e-02
9.760710e+01 4.486173e-02
9.918580e+01 4.542484e-02
1.007900e+02 4.599516e-02
1.024200e+02 4.657242e-02
1.040770e+02 4.715737e-02
1.057600e+02 4.774916e-02
1.074710e+02 4.825992e-02
1.092090e+02 4.873420e-02
1.109750e+02 4.921302e-02
1.127700e+02 4.969680e-02
1.145940e+02 5.018528e-02
1.164480e+02 5.067876e-02
1.183310e+02 5.117675e-02
1.202450e+02 5.170566e-02
1.221900e+02 5.256323e-02
1.241660e+02 5.343484e-02
1.261750e+02 5.432136e-02
1.282150e+02 5.522183e-02
1.302890e+02 5.613779e-02
1.323970e+02 5.706903e-02
1.345380e+02 5.801537e-02
1.367140e+02 5.897822e-02
1.389250e+02 5.997213e-02
1.411720e+02 6.098279e-02
1.434560e+02 6.201079e-02
1.457760e+02 6.305574e-02
1.481340e+02 6.411853e-02
1.505300e+02 6.519921e-02
1.529640e+02 6.629765e-02
1.554390e+02 6.741535e-02
1.579530e+02 6.855146e-02
1.605070e+02 6.970646e-02
1.631030e+02 7.088111e-02
1.657420e+02 7.207618e-02
1.684220e+02 7.362738e-02
1.711460e+02 7.522017e-02
1.739150e+02 7.684784e-02
1.767270e+02 7.850972e-02
1.795860e+02 8.020855e-02
1.824910e+02 8.194380e-02
1.854420e+02 8.371626e-02
1.884420e+02 8.552757e-02
1.914890e+02 8.737728e-02
1.945870e+02 8.935622e-02
1.977340e+02 9.169823e-02
2.009320e+02 9.410217e-02
2.041820e+02 9.656903e-02
2.074850e+02 9.910087e-02
2.108400e+02 1.016984e-01
2.142510e+02 1.043646e-01
2.177160e+02 1.071004e-01
2.212370e+02 1.099079e-01
2.248160e+02 1.127894e-01
2.284520e+02 1.157461e-01
2.321470e+02 1.187803e-01
2.359020e+02 1.218943e-01
2.397170e+02 1.250893e-01
2.435950e+02 1.286896e-01
2.475350e+02 1.323999e-01
2.515380e+02 1.362175e-01
2.556070e+02 1.401452e-01
2.597410e+02 1.441862e-01
2.639420e+02 1.483436e-01
2.682110e+02 1.526210e-01
2.725490e+02 1.570214e-01
2.769570e+02 1.615489e-01
2.814370e+02 1.662075e-01
