# material=W density=19.25
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 1.178649e-02
1.016170e+01 1.147653e-02
1.032610e+01 1.117478e-02
1.049310e+01 1.090249e-02
1.066280e+01 1.067183e-02
1.083530e+01 1.044613e-02
1.101050e+01 1.022515e-02
1.118860e+01 1.000888e-02
1.136960e+01 9.797175e-03
1.155350e+01 9.589958e-03
1.174040e+01 9.411879e-03
1.193030e+01 9.303734e-03
1.212320e+01 9.196769e-03
1.231930e+01 9.091122e-03
1.251860e+01 8.986689e-03
1.272100e+01 8.883365e-03
1.292680e+01 8.781332e-03
1.313590e+01 8.680440e-03
1.334830e+01 8.580646e-03
1.356420e+01 8.482064e-03
1.378360e+01 8.384609e-03
1.400660e+01 8.288287e-03
1.423310e+01 8.193035e-03
1.446330e+01 8.098887e-03
1.469720e+01 8.005823e-03
1.493500e+01 7.913861e-03
1.517650e+01 7.822904e-03
1.542200e+01 7.733030e-03
1.567140e+01 7.688769e-03
1.592490e+01 7.648296e-03
1.618250e+01 7.608035e-03
1.644420e+01 7.567946e-03
1.671020e+01 7.528119e-03
1.698050e+01 7.505346e-03
1.725510e+01 7.541778e-03
1.753420e+01 7.578414e-03
1.781780e+01 7.615220e-03
1.810600e+01 7.652204e-03
1.839880e+01 7.689348e-03
1.869640e+01 7.726687e-03
1.899880e+01 7.765528e-03
1.930610e+01 7.848937e-03
1.961840e+01 7.933269e-03
1.993570e+01 8.018474e-03
2.025810e+01 8.104598e-03
2.058580e+01 8.191657e-03
2.091870e+01 8.319197e-03
2.125710e+01 8.522308e-03
2.160090e+01 8.730361e-03
2.195030e+01 8.943504e-03
2.230530e+01 9.161006e-03
2.266610e+01 9.328164e-03
2.303270e+01 9.498380e-03
2.340520e+01 9.671677e-03
2.378380e+01 9.848155e-03
2.416850e+01 1.017263e-02
2.455940e+01 1.059134e-02
2.495660e+01 1.102729e-02
2.536020e+01 1.147307e-02
2.577040e+01 1.186039e-02
2.618720e+01 1.226077e-02
2.661080e+01 1.267471e-02
2.704120e+01 1.310258e-02
2.747860e+01 1.351840e-02
2.792300e+01 1.390352e-02
2.837470e+01 1.429966e-02
2.883360e+01 1.470702e-02
2.930000e+01 1.519934e-02
2.977390e+01 1.581043e-02
3.025540e+01 1.644603e-02
3.074480e+01 1.710725e-02
3.124210e+01 1.775764e-02
3.174740e+01 1.834426e-02
3.226090e+01 1.895023e-02
3.278270e+01 1.951116e-02
