# material=Y density=4.472
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 2.090123e-02
1.016170e+01 2.127827e-02
1.032610e+01 2.166227e-02
1.049310e+01 2.205315e-02
1.066280e+01 2.245105e-02
1.083530e+01 2.285622e-02
1.101050e+01 2.329069e-02
1.118860e+01 2.390525e-02
1.136960e+01 2.453620e-02
1.155350e+01 2.518373e-02
1.174040e+01 2.584836e-02
1.193030e+01 2.653042e-02
1.212320e+01 2.723048e-02
1.231930e+01 2.806523e-02
1.251860e+01 2.895362e-02
1.272100e+01 2.986993e-02
1.292680e+01 3.081538e-02
1.313590e+01 3.179090e-02
1.334830e+01 3.279686e-02
1.356420e+01 3.384785e-02
1.378360e+01 3.561098e-02
1.400660e+01 3.746580e-02
1.423310e+01 3.941715e-02
1.446330e+01 4.147020e-02
1.469720e+01 4.368604e-02
1.493500e+01 4.604952e-02
1.517650e+01 4.854030e-02
1.542200e+01 5.116621e-02
1.567140e+01 5.393401e-02
1.592490e+01 5.688284e-02
1.618250e+01 6.002207e-02
1.644420e+01 6.333468e-02
1.671020e+01 6.682992e-02
1.698050e+01 7.051845e-02
1.725510e+01 7.400731e-02
1.753420e+01 7.738791e-02
1.781780e+01 8.092264e-02
1.810600e+01 8.461905e-02
1.839880e+01 8.848374e-02
1.869640e+01 9.252542e-02
1.899880e+01 9.523006e-02
1.930610e+01 9.731459e-02
1.961840e+01 9.944485e-02
1.993570e+01 1.016214e-01
2.025810e+01 1.038455e-01
2.058580e+01 1.054723e-01
2.091870e+01 1.055385e-01
2.125710e+01 1.056051e-01
2.160090e+01 1.056715e-01
2.195030e+01 1.049914e-01
2.230530e+01 1.027114e-01
2.266610e+01 1.004818e-01
2.303270e+01 9.830024e-02
2.340520e+01 9.604803e-02
2.378380e+01 9.116238e-02
2.416850e+01 8.652477e-02
2.455940e+01 8.212363e-02
2.495660e+01 7.794596e-02
2.536020e+01 7.228508e-02
2.577040e+01 6.299307e-02
2.618720e+01 5.489549e-02
2.661080e+01 4.783918e-02
2.704120e+01 3.870838e-02
2.747860e+01 2.687244e-02
2.792300e+01 1.865550e-02
2.837470e+01 1.295123e-02
2.883360e+01 9.517919e-03
2.930000e+01 9.050989e-03
2.977390e+01 8.607033e-03
3.025540e+01 8.184765e-03
3.074480e+01 7.978495e-03
3.124210e+01 7.943917e-03
3.174740e+01 7.909487e-03
3.226090e+01 7.875207e-03
3.278270e+01 7.996304e-03
3.331290e+01 8.172210e-03
3.385170e+01 8.352004e-03
3.439920e+01 8.577615e-03
3.495560e+01 9.260710e-03
3.552100e+01 9.886622e-03
3.609550e+01 1.049439e-02
3.667930e+01 1.113953e-02
3.727260e+01 1.182435e-02
3.787540e+01 1.255127e-02
3.848800e+01 1.332282e-02
3.911060e+01 1.414191e-02
3.974310e+01 1.501124e-02
4.038600e+01 1.614412e-02
4.103920e+01 1.745879e-02
4.170290e+01 1.888038e-02
4.237740e+01 2.041796e-02
4.306290e+01 2.208069e-02
4.375940e+01 2.387876e-02
4.446710e+01 2.582326e-02
4.518640e+01 2.794925e-02
4.591720e+01 3.063562e-02
4.665990e+01 3.358034e-02
4.741460e+01 3.680802e-02
4.818150e+01 4.034601e-02
4.896080e+01 4.422401e-02
4.975270e+01 4.846118e-02
5.055740e+01 5.190806e-02
5.137510e+01 5.560018e-02
5.220610e+01 5.955487e-02
5.305050e+01 6.379097e-02
5.390850e+01 6.832814e-02
5.478040e+01 7.318808e-02
5.566650e+01 7.821619e-02
5.656680e+01 8.341634e-02
5.748170e+01 8.896238e-02
5.841150e+01 9.487699e-02
5.935620e+01 1.011851e-01
6.031630e+01 1.077354e-01
6.129180e+01 1.143217e-01
6.228320e+01 1.213113e-01
6.329060e+01 1.287275e-01
6.431420e+01 1.365977e-01
6.535450e+01 1.448041e-01
6.641150e+01 1.526098e-01
6.748570e+01 1.608359e-01
6.857720e+01 1.695058e-01
6.968640e+01 1.786431e-01
7.081350e+01 1.853780e-01
7.195880e+01 1.912018e-01
7.312270e+01 1.972092e-01
7.430540e+01 2.034051e-01
7.550720e+01 2.097959e-01
7.672850e+01 2.163873e-01
7.796950e+01 2.231858e-01
7.923060e+01 2.301975e-01
8.051210e+01 2.364553e-01
8.181430e+01 2.413615e-01
8.313760e+01 2.463700e-01
8.448230e+01 2.514828e-01
8.584870e+01 2.562250e-01
8.723730e+01 2.605110e-01
