# material=Yb density=6.57
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 2.879774e-01
1.016170e+01 2.909021e-01
1.032610e+01 2.938598e-01
1.049310e+01 2.968455e-01
1.066280e+01 2.998613e-01
1.083530e+01 3.029104e-01
1.101060e+01 3.059892e-01
1.118860e+01 3.090969e-01
1.136960e+01 3.109365e-01
1.155350e+01 3.093136e-01
1.174040e+01 3.076997e-01
1.193030e+01 3.060937e-01
1.212320e+01 3.044949e-01
1.231930e+01 3.012847e-01
1.251860e+01 2.965438e-01
1.272100e+01 2.918737e-01
1.292680e+01 2.872797e-01
1.313590e+01 2.827583e-01
1.334830e+01 2.783064e-01
1.356420e+01 2.739256e-01
1.378360e+01 2.696137e-01
1.400660e+01 2.653705e-01
1.423310e+01 2.617019e-01
1.446330e+01 2.583275e-01
1.469730e+01 2.549981e-01
1.493500e+01 2.517107e-01
1.517650e+01 2.484642e-01
1.542200e+01 2.452610e-01
1.567140e+01 2.421343e-01
1.592490e+01 2.394243e-01
1.618250e+01 2.367454e-01
1.644420e+01 2.340949e-01
1.671020e+01 2.314754e-01
1.698050e+01 2.288846e-01
1.725510e+01 2.263228e-01
1.753420e+01 2.236785e-01
1.781780e+01 2.210080e-01
1.810600e+01 2.183697e-01
1.839890e+01 2.157635e-01
1.869640e+01 2.131865e-01
1.899880e+01 2.106413e-01
1.930610e+01 2.082641e-01
1.961840e+01 2.073934e-01
1.993570e+01 2.065259e-01
2.025820e+01 2.056625e-01
2.058580e+01 2.048017e-01
2.091880e+01 2.039454e-01
2.125710e+01 2.030919e-01
2.160090e+01 2.012224e-01
2.195030e+01 1.988062e-01
2.230530e+01 1.964185e-01
2.266610e+01 1.940390e-01
2.303270e+01 1.912405e-01
2.340530e+01 1.884831e-01
2.378380e+01 1.857643e-01
2.416850e+01 1.761545e-01
2.455940e+01 1.630599e-01
2.495660e+01 1.488478e-01
2.536030e+01 1.329155e-01
2.577050e+01 1.186885e-01
2.618730e+01 8.748471e-02
2.661090e+01 7.361777e-02
2.704130e+01 5.093607e-02
2.747860e+01 3.522773e-02
2.792310e+01 2.646339e-02
2.837470e+01 2.162228e-02
2.883370e+01 1.841941e-02
2.930000e+01 1.677836e-02
2.977390e+01 1.623813e-02
3.025550e+01 1.572053e-02
3.074490e+01 1.522651e-02
3.124210e+01 1.489386e-02
3.174750e+01 1.457635e-02
3.226090e+01 1.441192e-02
3.278270e+01 1.431151e-02
3.331300e+01 1.443139e-02
3.385180e+01 1.469735e-02
3.439930e+01 1.502847e-02
