# material=Zn density=7.14
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 9.820725e-03
1.016170e+01 1.043915e-02
1.032610e+01 1.109658e-02
1.049310e+01 1.179541e-02
1.066280e+01 1.253822e-02
1.083530e+01 1.332792e-02
1.101060e+01 1.416727e-02
1.118860e+01 1.491655e-02
1.136960e+01 1.568709e-02
1.155350e+01 1.649749e-02
1.174040e+01 1.734963e-02
1.193030e+01 1.833197e-02
1.212320e+01 1.942325e-02
1.231930e+01 2.057952e-02
1.251860e+01 2.098039e-02
1.272100e+01 2.129288e-02
1.292680e+01 2.160463e-02
1.313590e+01 2.175055e-02
1.334830e+01 2.189739e-02
1.356420e+01 2.204525e-02
1.378360e+01 2.219931e-02
1.400660e+01 2.235733e-02
1.423310e+01 2.251614e-02
1.446330e+01 2.267631e-02
1.469730e+01 2.283776e-02
1.493500e+01 2.300010e-02
1.517650e+01 2.316359e-02
1.542200e+01 2.332845e-02
1.567140e+01 2.349430e-02
1.592490e+01 2.366154e-02
1.618250e+01 2.353934e-02
1.644420e+01 2.339984e-02
1.671020e+01 2.326124e-02
1.698050e+01 2.312341e-02
1.725510e+01 2.298620e-02
1.753420e+01 2.285003e-02
1.781780e+01 2.271461e-02
1.810600e+01 2.258009e-02
1.839890e+01 2.244633e-02
1.869640e+01 2.231311e-02
1.899880e+01 2.218093e-02
1.930610e+01 2.204945e-02
1.961840e+01 2.191891e-02
1.993570e+01 2.178889e-02
2.025820e+01 2.159199e-02
2.058580e+01 2.139358e-02
2.091880e+01 2.119707e-02
2.125710e+01 2.100221e-02
2.160090e+01 2.080925e-02
2.195030e+01 2.061803e-02
2.230530e+01 2.042863e-02
2.266610e+01 2.024100e-02
2.303270e+01 2.005495e-02
2.340530e+01 1.987074e-02
2.378380e+01 1.968818e-02
2.416850e+01 1.950728e-02
2.455940e+01 1.932806e-02
2.495660e+01 1.915044e-02
2.536030e+01 1.897453e-02
2.577050e+01 1.880020e-02
2.618730e+01 1.862749e-02
2.661090e+01 1.844962e-02
2.704130e+01 1.827327e-02
2.747860e+01 1.809850e-02
2.792310e+01 1.792552e-02
2.837470e+01 1.775414e-02
2.883370e+01 1.758446e-02
2.930000e+01 1.741631e-02
2.977390e+01 1.724981e-02
3.025550e+01 1.708488e-02
3.074490e+01 1.692162e-02
3.124210e+01 1.675981e-02
3.174750e+01 1.659960e-02
3.226090e+01 1.644087e-02
3.278270e+01 1.628371e-02
3.331300e+01 1.612806e-02
3.385180e+01 1.600493e-02
3.439930e+01 1.591328e-02
3.495570e+01 1.582219e-02
3.552110e+01 1.573163e-02
3.609560e+01 1.564157e-02
3.667940e+01 1.555199e-02
3.727270e+01 1.546297e-02
3.787550e+01 1.537445e-02
3.848820e+01 1.528645e-02
3.911070e+01 1.519895e-02
3.974320e+01 1.511189e-02
4.038610e+01 1.502541e-02
4.103930e+01 1.493939e-02
4.170310e+01 1.485387e-02
4.237760e+01 1.476883e-02
