# material=Zr density=6.511
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+00 1.779886e-02
1.014860e+00 1.773652e-02
1.029940e+00 1.767435e-02
1.045240e+00 1.761229e-02
1.060770e+00 1.755058e-02
1.076530e+00 1.748533e-02
1.092520e+00 1.741758e-02
1.108750e+00 1.735025e-02
1.125230e+00 1.728321e-02
1.141950e+00 1.721638e-02
1.158910e+00 1.714973e-02
1.176130e+00 1.708346e-02
1.193600e+00 1.701732e-02
1.211340e+00 1.695158e-02
1.229340e+00 1.688601e-02
1.247600e+00 1.682068e-02
1.266140e+00 1.675568e-02
1.284950e+00 1.669088e-02
1.304040e+00 1.659989e-02
1.323410e+00 1.645780e-02
1.343080e+00 1.631711e-02
1.363030e+00 1.617745e-02
1.383280e+00 1.603901e-02
1.403830e+00 1.590177e-02
1.424690e+00 1.576577e-02
1.445860e+00 1.563093e-02
1.467340e+00 1.549718e-02
1.489140e+00 1.536461e-02
1.511270e+00 1.523319e-02
1.533720e+00 1.510285e-02
1.556510e+00 1.497365e-02
1.579630e+00 1.484550e-02
1.603100e+00 1.471851e-02
1.626920e+00 1.459656e-02
1.651090e+00 1.447634e-02
1.675620e+00 1.435716e-02
1.700520e+00 1.423900e-02
1.725780e+00 1.412175e-02
1.751420e+00 1.400550e-02
1.777440e+00 1.389017e-02
1.803850e+00 1.377584e-02
1.830650e+00 1.366241e-02
1.857850e+00 1.354996e-02
1.885460e+00 1.343844e-02
1.913470e+00 1.332778e-02
1.941900e+00 1.321807e-02
1.970750e+00 1.310925e-02
2.000030e+00 1.301841e-02
2.029740e+00 1.293790e-02
2.059900e+00 1.285794e-02
2.090510e+00 1.277852e-02
2.121570e+00 1.269953e-02
2.153090e+00 1.262103e-02
2.185080e+00 1.254302e-02
2.217540e+00 1.246549e-02
2.250490e+00 1.238845e-02
2.283920e+00 1.231184e-02
2.317860e+00 1.223580e-02
2.352290e+00 1.216013e-02
2.387240e+00 1.208498e-02
2.422710e+00 1.201030e-02
2.458710e+00 1.195456e-02
2.495240e+00 1.192238e-02
2.532310e+00 1.189027e-02
2.569930e+00 1.185824e-02
2.608120e+00 1.182636e-02
2.646870e+00 1.179453e-02
2.686190e+00 1.176274e-02
2.726100e+00 1.173108e-02
2.766600e+00 1.169948e-02
2.807710e+00 1.166801e-02
2.849420e+00 1.163657e-02
2.891760e+00 1.160528e-02
2.934720e+00 1.157402e-02
2.978330e+00 1.154289e-02
3.022580e+00 1.151182e-02
3.067480e+00 1.148079e-02
3.113060e+00 1.144990e-02
3.159310e+00 1.141908e-02
3.206250e+00 1.138834e-02
3.253890e+00 1.135768e-02
3.302230e+00 1.132711e-02
3.351290e+00 1.129660e-02
3.401080e+00 1.128685e-02
3.451620e+00 1.128684e-02
3.502900e+00 1.128681e-02
3.554940e+00 1.128682e-02
3.607760e+00 1.128684e-02
3.661360e+00 1.128685e-02
3.715760e+00 1.128683e-02
3.770970e+00 1.128679e-02
3.826990e+00 1.128685e-02
3.883850e+00 1.128678e-02
3.941560e+00 1.128682e-02
4.000120e+00 1.128687e-02
4.059550e+00 1.128679e-02
4.119860e+00 1.128679e-02
4.181070e+00 1.128685e-02
4.243190e+00 1.128681e-02
4.306240e+00 1.128680e-02
4.370220e+00 1.128683e-02
4.435150e+00 1.117717e-02
4.501040e+00 1.102228e-02
4.567910e+00 1.086961e-02
4.635780e+00 1.071909e-02
4.704660e+00 1.057055e-02
4.774560e+00 1.042414e-02
4.845490e+00 1.027978e-02
4.917490e+00 1.013733e-02
4.990550e+00 9.996971e-03
5.064690e+00 9.849030e-03
5.139940e+00 9.673708e-03
5.216310e+00 9.501422e-03
5.293810e+00 9.332280e-03
5.372460e+00 9.166104e-03
5.452280e+00 9.002885e-03
5.533290e+00 8.842571e-03
5.615500e+00 8.685148e-03
5.698930e+00 8.530501e-03
5.783600e+00 8.378611e-03
5.869530e+00 8.229428e-03
5.956740e+00 8.082911e-03
6.045240e+00 7.938983e-03
6.135060e+00 7.797635e-03
6.226210e+00 7.686496e-03
6.318710e+00 7.625808e-03
6.412590e+00 7.565628e-03
6.507870e+00 7.505905e-03
6.604560e+00 7.446632e-03
6.702680e+00 7.387841e-03
6.802270e+00 7.329534e-03
6.903330e+00 7.271674e-03
7.005900e+00 7.214268e-03
7.109990e+00 7.157316e-03
7.215620e+00 7.100809e-03
7.322830e+00 7.044757e-03
7.431630e+00 6.989143e-03
7.542040e+00 6.933963e-03
7.654100e+00 6.896619e-03
7.767820e+00 6.878152e-03
7.883230e+00 6.859721e-03
8.000350e+00 6.841340e-03
8.119220e+00 6.823004e-03
8.239850e+00 6.804737e-03
8.362270e+00 6.786491e-03
8.486510e+00 6.768322e-03
8.612600e+00 6.764119e-03
8.740560e+00 6.795640e-03
8.870420e+00 6.827317e-03
9.002210e+00 6.859129e-03
9.135960e+00 6.891099e-03
9.271700e+00 6.923221e-03
9.409450e+00 6.955494e-03
9.549250e+00 6.987904e-03
9.691130e+00 7.020473e-03
9.835120e+00 7.053194e-03
9.981240e+00 7.095536e-03
1.012950e+01 7.140211e-03
1.028000e+01 7.185177e-03
1.043280e+01 7.230488e-03
1.058780e+01 7.276028e-03
1.074510e+01 7.321863e-03
1.090470e+01 7.367948e-03
1.106670e+01 7.414363e-03
1.123120e+01 7.471069e-03
1.139800e+01 7.550558e-03
1.156740e+01 7.630969e-03
1.173920e+01 7.712170e-03
1.191360e+01 7.794263e-03
1.209070e+01 7.877297e-03
1.227030e+01 7.995796e-03
1.245260e+01 8.126088e-03
1.263760e+01 8.258466e-03
1.282540e+01 8.393067e-03
1.301590e+01 8.529787e-03
1.320930e+01 8.668779e-03
1.340560e+01 8.810055e-03
1.360470e+01 8.969370e-03
1.380690e+01 9.246849e-03
1.401200e+01 9.532836e-03
1.422020e+01 9.827722e-03
1.443150e+01 1.013171e-02
1.464590e+01 1.044508e-02
1.486350e+01 1.076818e-02
1.508430e+01 1.118533e-02
1.530840e+01 1.181884e-02
1.553590e+01 1.248830e-02
1.576670e+01 1.319563e-02
1.600090e+01 1.394301e-02
1.623870e+01 1.473280e-02
1.647990e+01 1.556718e-02
1.672480e+01 1.644896e-02
1.697330e+01 1.738066e-02
1.722540e+01 1.836500e-02
1.748140e+01 1.940528e-02
1.774110e+01 2.050439e-02
1.800470e+01 2.166580e-02
1.827220e+01 2.289294e-02
1.854370e+01 2.418958e-02
1.881920e+01 2.555977e-02
1.909880e+01 2.700749e-02
1.938250e+01 2.853705e-02
1.967050e+01 3.015338e-02
1.996280e+01 3.186138e-02
2.025940e+01 3.366599e-02
2.056040e+01 3.557284e-02
2.086580e+01 3.758763e-02
2.117580e+01 3.971664e-02
2.149050e+01 4.196643e-02
2.180980e+01 4.434339e-02
2.213380e+01 4.672939e-02
2.246260e+01 4.871063e-02
2.279640e+01 5.077581e-02
2.313510e+01 5.292847e-02
2.347880e+01 5.517205e-02
2.382760e+01 5.751135e-02
2.418170e+01 5.994966e-02
2.454090e+01 6.249106e-02
2.490560e+01 6.514049e-02
2.527560e+01 6.661687e-02
2.565110e+01 6.772180e-02
2.603220e+01 6.884477e-02
2.641900e+01 6.329348e-02
2.681150e+01 5.302335e-02
2.720990e+01 2.811473e-02
2.761410e+01 2.004702e-02
2.802440e+01 1.847313e-02
2.844080e+01 1.702288e-02
2.886330e+01 1.593114e-02
2.929220e+01 1.524655e-02
2.972740e+01 1.459134e-02
3.016900e+01 1.396427e-02
3.061730e+01 1.336421e-02
3.107220e+01 1.278990e-02
3.153380e+01 1.212552e-02
3.200230e+01 1.117578e-02
3.247780e+01 1.030040e-02
3.296030e+01 9.493596e-03
3.345000e+01 8.750001e-03
3.394700e+01 8.064631e-03
3.445140e+01 7.432954e-03
3.496320e+01 7.076778e-03
3.548270e+01 7.044504e-03
3.600990e+01 7.012399e-03
3.654490e+01 6.980385e-03
3.708790e+01 7.068450e-03
3.763890e+01 7.165383e-03
3.819810e+01 7.263616e-03
3.876560e+01 7.363203e-03
3.934160e+01 7.527058e-03
3.992610e+01 7.728508e-03
4.051930e+01 7.935372e-03
4.112130e+01 8.147729e-03
4.173230e+01 8.403363e-03
4.235230e+01 8.792545e-03
4.298160e+01 9.199855e-03
4.362020e+01 9.625962e-03
4.426820e+01 1.007176e-02
4.492590e+01 1.075549e-02
4.559340e+01 1.167816e-02
4.627080e+01 1.268003e-02
4.695830e+01 1.376783e-02
4.765600e+01 1.494888e-02
4.836400e+01 1.623134e-02
4.908260e+01 1.762380e-02
4.981180e+01 1.913568e-02
5.055190e+01 2.077728e-02
5.130300e+01 2.255974e-02
5.206520e+01 2.449505e-02
5.283880e+01 2.659646e-02
5.362380e+01 2.887807e-02
5.442050e+01 3.143832e-02
5.522910e+01 3.439919e-02
5.604960e+01 3.763883e-02
5.688240e+01 4.118360e-02
5.772750e+01 4.506211e-02
5.858520e+01 4.930600e-02
5.945560e+01 5.394947e-02
6.033900e+01 5.903032e-02
6.123540e+01 6.458961e-02
6.214520e+01 7.067268e-02
6.306860e+01 7.732846e-02
6.400560e+01 8.461110e-02
6.495660e+01 9.257977e-02
6.592160e+01 1.012986e-01
6.690110e+01 1.108386e-01
6.789500e+01 1.212771e-01
6.890380e+01 1.326992e-01
6.992750e+01 1.414638e-01
7.096650e+01 1.502444e-01
7.202080e+01 1.595687e-01
7.309090e+01 1.694717e-01
7.417680e+01 1.799902e-01
7.527890e+01 1.911613e-01
7.639730e+01 2.030257e-01
7.753240e+01 2.128040e-01
7.868430e+01 2.211803e-01
7.985340e+01 2.298874e-01
8.103980e+01 2.389346e-01
8.224380e+01 2.440839e-01
8.346580e+01 2.492525e-01
8.470580e+01 2.545307e-01
8.596440e+01 2.599194e-01
8.724160e+01 2.654250e-01
8.853770e+01 2.710974e-01
8.985320e+01 2.768900e-01
9.118820e+01 2.828073e-01
9.254300e+01 2.888521e-01
9.391790e+01 2.950242e-01
9.531330e+01 3.008980e-01
9.672940e+01 3.024549e-01
9.816660e+01 3.040194e-01
9.962510e+01 3.055915e-01
1.011050e+02 3.071709e-01
1.026070e+02 3.082159e-01
1.041320e+02 3.062459e-01
1.056790e+02 3.042859e-01
1.072490e+02 3.023379e-01
1.088430e+02 3.004042e-01
1.104600e+02 2.984811e-01
1.121010e+02 2.968325e-01
1.137660e+02 2.962350e-01
1.154570e+02 2.956418e-01
1.171720e+02 2.950480e-01
1.189130e+02 2.959471e-01
1.206800e+02 2.971991e-01
1.224730e+02 2.984579e-01
1.242920e+02 2.997186e-01
1.261390e+02 3.009876e-01
1.280130e+02 3.022619e-01
1.299150e+02 3.035412e-01
1.318450e+02 3.048249e-01
1.338040e+02 3.060599e-01
1.357920e+02 3.071342e-01
1.378100e+02 3.082145e-01
1.398570e+02 3.092960e-01
1.419350e+02 3.103827e-01
1.440440e+02 3.114739e-01
1.461840e+02 3.125672e-01
1.483560e+02 3.136661e-01
1.505600e+02 3.147681e-01
1.527970e+02 3.158728e-01
1.550670e+02 3.173713e-01
1.573710e+02 3.191947e-01
1.597090e+02 3.210288e-01
1.620820e+02 3.228748e-01
1.644900e+02 3.247302e-01
1.669340e+02 3.265980e-01
1.694140e+02 3.284738e-01
1.719310e+02 3.303624e-01
1.744860e+02 3.322632e-01
1.762930e+02 3.335960e-01
1.787760e+02 2.766933e-01
1.814320e+02 2.768316e-01
1.841280e+02 2.769699e-01
1.868630e+02 2.499157e-01
1.896400e+02 2.219208e-01
1.924570e+02 1.998835e-01
1.953170e+02 1.875896e-01
1.982190e+02 1.760516e-01
2.011640e+02 1.466412e-01
2.041520e+02 1.202771e-01
2.071860e+02 9.865371e-02
2.102640e+02 8.671411e-02
2.133880e+02 7.996777e-02
2.165580e+02 7.757791e-02
2.197760e+02 7.525999e-02
2.230410e+02 7.301067e-02
2.263550e+02 7.026298e-02
2.297180e+02 6.723501e-02
2.331310e+02 6.433829e-02
2.365950e+02 6.111273e-02
2.401100e+02 5.789819e-02
