# material=polyimide density=-1
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 2.808527e-02
1.008000e+01 2.769277e-02
1.016100e+01 2.730341e-02
1.024300e+01 2.692813e-02
1.032500e+01 2.655541e-02
1.040800e+01 2.618505e-02
1.049200e+01 2.581740e-02
1.057600e+01 2.545253e-02
1.066100e+01 2.509047e-02
1.074700e+01 2.471841e-02
1.083400e+01 2.434936e-02
1.092100e+01 2.394769e-02
1.100800e+01 2.354946e-02
1.109700e+01 2.315424e-02
1.118600e+01 2.276333e-02
1.127600e+01 2.237333e-02
1.136700e+01 2.198792e-02
1.145800e+01 2.160707e-02
1.155000e+01 2.123094e-02
1.164300e+01 2.085969e-02
1.173700e+01 2.049323e-02
1.183100e+01 2.012954e-02
1.192600e+01 1.977074e-02
1.202200e+01 1.945173e-02
1.211900e+01 1.913832e-02
1.221600e+01 1.883087e-02
1.231400e+01 1.852741e-02
1.241300e+01 1.822773e-02
1.251300e+01 1.793193e-02
1.261400e+01 1.763587e-02
1.271500e+01 1.734361e-02
1.281700e+01 1.705566e-02
1.292000e+01 1.677172e-02
1.302400e+01 1.649170e-02
1.312900e+01 1.621562e-02
1.323400e+01 1.594333e-02
1.334100e+01 1.567491e-02
1.344800e+01 1.549140e-02
1.355600e+01 1.531600e-02
1.366500e+01 1.515375e-02
1.377500e+01 1.499402e-02
1.388600e+01 1.482989e-02
1.399700e+01 1.466686e-02
1.411000e+01 1.450449e-02
1.422300e+01 1.434365e-02
1.433700e+01 1.418442e-02
1.445300e+01 1.402676e-02
1.456900e+01 1.389150e-02
1.468600e+01 1.375947e-02
1.480400e+01 1.366683e-02
1.492300e+01 1.357867e-02
1.504300e+01 1.348971e-02
1.516400e+01 1.340094e-02
1.528600e+01 1.331222e-02
1.540900e+01 1.322376e-02
1.553300e+01 1.312112e-02
1.565700e+01 1.301683e-02
1.578300e+01 1.290440e-02
1.591000e+01 1.279067e-02
1.603800e+01 1.269164e-02
1.616700e+01 1.259387e-02
1.629700e+01 1.254134e-02
1.642800e+01 1.249333e-02
1.656000e+01 1.244339e-02
1.669300e+01 1.233716e-02
1.682700e+01 1.200015e-02
1.696300e+01 1.124293e-02
1.709900e+01 1.106183e-02
1.723600e+01 1.104319e-02
1.737500e+01 1.102210e-02
1.751500e+01 1.099852e-02
1.765500e+01 1.097624e-02
1.779700e+01 1.095180e-02
1.794000e+01 1.094285e-02
1.808500e+01 1.093350e-02
1.823000e+01 1.092051e-02
1.837600e+01 1.090380e-02
1.852400e+01 1.088322e-02
1.867300e+01 1.085872e-02
1.882300e+01 1.085005e-02
1.897400e+01 1.084243e-02
1.912700e+01 1.085806e-02
1.928100e+01 1.087745e-02
1.943600e+01 1.089602e-02
1.959200e+01 1.091355e-02
1.974900e+01 1.094084e-02
1.990800e+01 1.096961e-02
2.006800e+01 1.101196e-02
2.023000e+01 1.105694e-02
2.039200e+01 1.113333e-02
2.055600e+01 1.121666e-02
2.072100e+01 1.131615e-02
2.088800e+01 1.141964e-02
2.105600e+01 1.152366e-02
2.122500e+01 1.162821e-02
2.139600e+01 1.173441e-02
2.156800e+01 1.184145e-02
2.174100e+01 1.195184e-02
2.191600e+01 1.206358e-02
2.209200e+01 1.217869e-02
2.227000e+01 1.229525e-02
2.244900e+01 1.241516e-02
2.262900e+01 1.253661e-02
2.281100e+01 1.266351e-02
2.299400e+01 1.279258e-02
2.317900e+01 1.295029e-02
2.336500e+01 1.311687e-02
2.355300e+01 1.328513e-02
2.374300e+01 1.345507e-02
2.393400e+01 1.363169e-02
2.412600e+01 1.381160e-02
2.432000e+01 1.399999e-02
2.451500e+01 1.419250e-02
2.471200e+01 1.438743e-02
2.491100e+01 1.458476e-02
2.511100e+01 1.478443e-02
2.531300e+01 1.498650e-02
2.551700e+01 1.519103e-02
2.572200e+01 1.539802e-02
2.592900e+01 1.560827e-02
2.613700e+01 1.582130e-02
2.634700e+01 1.604838e-02
2.655900e+01 1.628199e-02
2.677200e+01 1.651857e-02
2.698800e+01 1.675815e-02
2.720400e+01 1.700322e-02
2.742300e+01 1.725225e-02
2.764400e+01 1.750815e-02
2.786600e+01 1.776863e-02
2.809000e+01 1.803253e-02
2.831600e+01 1.829986e-02
2.854300e+01 1.857064e-02
2.877300e+01 1.884490e-02
2.900400e+01 1.912270e-02
2.923700e+01 1.940408e-02
2.947200e+01 1.968905e-02
2.970900e+01 1.997765e-02
2.994800e+01 2.027656e-02
3.018900e+01 2.058184e-02
3.043100e+01 2.089076e-02
3.067600e+01 2.120355e-02
3.092200e+01 2.152051e-02
3.117100e+01 2.184158e-02
3.142200e+01 2.216682e-02
3.167400e+01 2.249622e-02
3.192900e+01 2.282985e-02
3.218500e+01 2.316769e-02
3.244400e+01 2.350904e-02
3.270500e+01 2.385434e-02
3.296800e+01 2.420300e-02
3.323300e+01 2.455557e-02
3.350000e+01 2.491246e-02
3.376900e+01 2.527375e-02
3.404100e+01 2.563947e-02
3.431400e+01 2.600964e-02
3.459000e+01 2.638428e-02
3.486800e+01 2.676344e-02
3.514900e+01 2.713995e-02
3.543100e+01 2.751758e-02
3.571600e+01 2.789835e-02
3.600300e+01 2.828292e-02
3.629200e+01 2.869589e-02
3.658400e+01 2.912591e-02
3.687800e+01 2.956870e-02
3.717500e+01 3.002120e-02
3.747400e+01 3.043137e-02
3.777500e+01 3.089657e-02
3.807800e+01 3.136852e-02
3.838500e+01 3.184729e-02
3.869300e+01 3.233313e-02
3.900400e+01 3.282603e-02
3.931800e+01 3.334154e-02
3.963400e+01 3.387279e-02
3.995200e+01 3.442628e-02
4.027300e+01 3.499581e-02
4.059700e+01 3.557416e-02
4.092400e+01 3.616143e-02
4.125300e+01 3.675791e-02
4.158400e+01 3.736368e-02
4.191800e+01 3.797867e-02
4.225500e+01 3.860308e-02
4.259500e+01 3.923710e-02
4.293700e+01 3.988083e-02
4.328300e+01 4.053445e-02
4.363100e+01 4.119807e-02
4.398100e+01 4.187170e-02
4.433500e+01 4.255553e-02
4.469100e+01 4.324519e-02
4.505000e+01 4.394250e-02
4.541300e+01 4.460333e-02
4.577800e+01 4.524486e-02
4.614600e+01 4.589737e-02
4.651700e+01 4.656018e-02
4.689000e+01 4.723326e-02
4.726700e+01 4.791642e-02
4.764700e+01 4.860901e-02
4.803000e+01 4.931121e-02
4.841600e+01 5.003458e-02
4.880600e+01 5.077575e-02
4.919800e+01 5.155414e-02
4.959300e+01 5.236201e-02
4.999200e+01 5.318244e-02
5.039400e+01 5.401566e-02
5.079900e+01 5.486184e-02
5.120700e+01 5.572117e-02
5.161900e+01 5.659391e-02
5.203400e+01 5.748011e-02
5.245200e+01 5.837997e-02
5.287400e+01 5.929376e-02
5.329900e+01 6.015242e-02
5.372700e+01 6.097279e-02
5.415900e+01 6.181141e-02
5.459500e+01 6.266711e-02
5.503300e+01 6.353840e-02
5.547600e+01 6.442470e-02
5.592200e+01 6.532325e-02
5.637100e+01 6.623428e-02
5.682400e+01 6.715791e-02
5.728100e+01 6.809421e-02
5.774200e+01 6.904342e-02
5.820600e+01 7.000560e-02
5.867400e+01 7.098201e-02
5.914500e+01 7.197252e-02
5.962100e+01 7.297796e-02
6.010000e+01 7.399828e-02
6.058300e+01 7.505670e-02
6.107000e+01 7.614993e-02
6.156100e+01 7.731961e-02
6.205600e+01 7.855802e-02
6.255500e+01 7.981595e-02
6.305800e+01 8.109381e-02
6.356500e+01 8.239215e-02
6.407600e+01 8.371127e-02
6.459100e+01 8.505126e-02
6.511000e+01 8.641241e-02
6.563300e+01 8.779505e-02
6.616100e+01 8.919938e-02
6.669300e+01 9.062599e-02
6.722900e+01 9.207522e-02
6.776900e+01 9.354722e-02
6.831400e+01 9.504260e-02
6.886300e+01 9.669409e-02
6.941700e+01 9.812517e-02
6.997500e+01 9.967067e-02
7.053700e+01 1.012681e-01
7.110400e+01 1.028817e-01
7.167600e+01 1.045254e-01
7.225200e+01 1.061945e-01
7.283300e+01 1.078901e-01
7.341800e+01 1.096126e-01
7.400800e+01 1.113623e-01
7.460300e+01 1.131395e-01
7.520300e+01 1.149446e-01
7.580700e+01 1.167783e-01
7.641700e+01 1.186409e-01
7.703100e+01 1.205329e-01
7.765000e+01 1.224548e-01
7.827400e+01 1.244079e-01
7.890400e+01 1.263929e-01
7.953800e+01 1.284091e-01
8.017700e+01 1.304573e-01
8.082200e+01 1.325391e-01
8.147200e+01 1.346552e-01
8.212600e+01 1.368057e-01
8.278700e+01 1.389910e-01
8.345200e+01 1.412111e-01
8.412300e+01 1.434664e-01
8.479900e+01 1.457572e-01
8.548100e+01 1.480842e-01
8.616800e+01 1.504479e-01
8.686100e+01 1.528489e-01
8.755900e+01 1.552879e-01
8.826300e+01 1.577658e-01
8.897200e+01 1.602828e-01
8.968700e+01 1.628401e-01
9.040800e+01 1.654378e-01
9.113500e+01 1.680769e-01
9.186800e+01 1.707584e-01
9.260600e+01 1.734829e-01
9.335100e+01 1.762504e-01
9.410100e+01 1.790616e-01
9.485700e+01 1.819172e-01
9.562000e+01 1.848173e-01
9.638900e+01 1.877633e-01
9.716300e+01 1.907558e-01
9.794400e+01 1.938283e-01
9.873200e+01 1.969939e-01
9.952500e+01 2.003029e-01
1.003300e+02 2.037932e-01
1.011300e+02 2.073470e-01
1.019400e+02 2.109665e-01
1.027600e+02 2.146476e-01
1.035900e+02 2.183914e-01
1.044200e+02 2.222009e-01
1.052600e+02 2.260774e-01
1.061100e+02 2.300211e-01
1.069600e+02 2.340330e-01
1.078200e+02 2.381149e-01
1.086900e+02 2.422686e-01
1.095600e+02 2.464946e-01
1.104400e+02 2.507939e-01
1.113300e+02 2.551679e-01
1.122300e+02 2.596181e-01
1.131300e+02 2.641459e-01
1.140400e+02 2.687527e-01
1.149500e+02 2.734391e-01
1.158800e+02 2.782063e-01
1.168100e+02 2.830570e-01
1.177500e+02 2.879927e-01
1.186900e+02 2.930145e-01
1.196500e+02 2.981238e-01
1.206100e+02 3.033219e-01
1.215800e+02 3.086101e-01
1.225600e+02 3.139907e-01
1.235400e+02 3.194655e-01
1.245400e+02 3.250353e-01
1.255400e+02 3.307016e-01
1.265500e+02 3.364673e-01
1.275600e+02 3.423348e-01
1.285900e+02 3.483046e-01
1.296200e+02 3.543784e-01
1.306600e+02 3.605635e-01
1.317100e+02 3.668656e-01
1.327700e+02 3.733583e-01
1.338400e+02 3.801151e-01
1.349200e+02 3.869595e-01
1.360000e+02 3.938621e-01
1.370900e+02 4.008880e-01
1.382000e+02 4.080385e-01
1.393100e+02 4.153165e-01
1.404300e+02 4.227242e-01
1.415600e+02 4.302630e-01
1.426900e+02 4.379343e-01
1.438400e+02 4.457404e-01
1.450000e+02 4.536962e-01
1.461600e+02 4.617823e-01
1.473400e+02 4.700125e-01
1.485200e+02 4.783977e-01
1.497200e+02 4.869248e-01
1.509200e+02 4.956088e-01
1.521300e+02 5.044414e-01
1.533600e+02 5.134375e-01
1.545900e+02 5.225819e-01
1.558300e+02 5.318971e-01
1.570800e+02 5.413778e-01
1.583500e+02 5.510305e-01
1.596200e+02 5.608624e-01
1.609000e+02 5.708825e-01
1.622000e+02 5.811163e-01
1.635000e+02 5.915468e-01
1.648100e+02 6.022058e-01
1.661400e+02 6.130554e-01
1.674700e+02 6.241038e-01
1.688200e+02 6.353518e-01
1.701800e+02 6.467954e-01
1.715500e+02 6.584478e-01
1.729200e+02 6.703131e-01
1.743100e+02 6.823827e-01
1.757200e+02 6.946734e-01
1.771300e+02 7.071908e-01
1.785500e+02 7.199169e-01
1.799900e+02 7.330419e-01
1.814300e+02 7.468170e-01
1.828900e+02 7.612198e-01
1.843600e+02 7.768937e-01
1.858400e+02 7.932741e-01
1.873400e+02 8.110629e-01
1.888400e+02 8.292681e-01
1.903600e+02 8.478964e-01
1.918900e+02 8.669464e-01
1.934300e+02 8.864230e-01
1.949900e+02 9.063295e-01
1.965600e+02 9.266890e-01
1.981400e+02 9.475049e-01
1.997300e+02 9.687927e-01
2.013400e+02 9.905512e-01
2.029500e+02 1.012804e+00
2.045900e+02 1.035552e+00
2.062300e+02 1.058803e+00
2.078900e+02 1.082579e+00
2.095600e+02 1.106898e+00
2.112400e+02 1.131761e+00
2.129400e+02 1.157174e+00
2.146500e+02 1.183155e+00
2.163800e+02 1.209729e+00
2.181200e+02 1.236841e+00
2.198700e+02 1.264375e+00
2.216400e+02 1.292414e+00
2.234200e+02 1.320702e+00
2.252200e+02 1.349618e+00
2.270300e+02 1.379161e+00
2.288500e+02 1.409353e+00
2.306900e+02 1.440203e+00
2.325500e+02 1.471717e+00
2.344200e+02 1.503934e+00
2.363000e+02 1.536761e+00
2.382000e+02 1.569964e+00
2.401100e+02 1.603541e+00
2.420400e+02 1.636488e+00
2.439900e+02 1.670350e+00
2.459500e+02 1.705753e+00
2.479300e+02 1.742709e+00
2.499200e+02 1.783821e+00
2.519300e+02 1.825878e+00
2.539600e+02 1.868893e+00
2.560000e+02 1.912898e+00
2.580500e+02 1.957926e+00
2.601300e+02 2.003983e+00
2.622200e+02 2.051106e+00
2.643300e+02 2.099312e+00
2.664500e+02 2.148612e+00
2.685900e+02 2.199050e+00
2.707500e+02 2.250638e+00
2.729300e+02 2.303447e+00
2.751200e+02 2.357567e+00
2.773400e+02 2.412961e+00
2.795600e+02 2.469772e+00
2.818100e+02 2.527901e+00
2.840800e+02 2.587491e+00
2.863600e+02 1.914107e-01
2.886600e+02 1.948614e-01
2.909800e+02 1.983743e-01
2.933200e+02 2.019507e-01
2.956800e+02 2.055913e-01
2.980600e+02 2.092977e-01
3.004500e+02 2.130705e-01
3.028700e+02 2.169122e-01
3.053000e+02 2.208226e-01
3.077600e+02 2.248026e-01
3.102300e+02 2.288547e-01
3.127200e+02 2.329849e-01
3.152400e+02 2.371901e-01
3.177700e+02 2.414736e-01
3.203300e+02 2.458346e-01
3.229000e+02 2.502739e-01
3.255000e+02 2.547933e-01
3.281100e+02 2.593932e-01
3.307500e+02 2.640761e-01
3.334100e+02 2.688444e-01
3.360900e+02 2.736986e-01
3.387900e+02 2.786404e-01
3.415200e+02 2.836712e-01
3.442600e+02 2.887920e-01
3.470300e+02 2.940051e-01
3.498200e+02 2.993122e-01
3.526300e+02 3.047150e-01
3.554600e+02 3.102152e-01
3.583200e+02 3.158147e-01
3.612000e+02 3.215150e-01
3.641100e+02 3.273178e-01
3.670300e+02 3.332249e-01
3.699800e+02 3.392388e-01
3.729600e+02 3.453607e-01
3.759600e+02 3.516336e-01
3.789800e+02 3.584169e-01
3.820200e+02 3.653569e-01
3.850900e+02 3.726924e-01
3.881900e+02 3.801748e-01
3.913100e+02 3.878106e-01
3.944600e+02 3.955997e-01
3.976300e+02 4.035455e-01
4.008200e+02 4.116506e-01
4.040500e+02 4.199194e-01
4.072900e+02 4.283537e-01
4.105700e+02 3.850112e-01
4.138700e+02 3.926688e-01
4.171900e+02 4.004781e-01
4.205500e+02 4.084425e-01
4.239300e+02 4.165661e-01
4.273400e+02 4.248509e-01
4.307700e+02 4.333006e-01
4.342300e+02 4.419159e-01
4.377200e+02 4.507083e-01
4.412400e+02 4.596704e-01
4.447900e+02 4.688119e-01
4.483700e+02 4.781377e-01
4.519700e+02 4.876432e-01
4.556000e+02 4.973444e-01
4.592700e+02 5.072301e-01
4.629600e+02 5.173095e-01
4.666800e+02 5.276016e-01
4.704300e+02 5.380925e-01
4.742100e+02 5.487913e-01
4.780200e+02 5.597026e-01
4.818700e+02 5.708416e-01
4.857400e+02 5.822080e-01
4.896400e+02 5.939860e-01
4.935800e+02 6.060032e-01
4.975500e+02 6.182629e-01
5.015500e+02 6.307686e-01
5.055800e+02 6.435354e-01
5.096400e+02 6.565516e-01
5.137400e+02 6.698349e-01
5.178700e+02 6.833846e-01
5.220300e+02 6.972040e-01
5.262300e+02 7.113127e-01
5.304600e+02 7.257014e-01
5.347200e+02 7.403813e-01
5.390200e+02 7.553557e-01
5.433500e+02 5.254296e-01
5.477200e+02 5.359989e-01
5.521300e+02 5.467811e-01
5.565600e+02 5.577857e-01
5.610400e+02 5.690084e-01
5.655500e+02 5.805047e-01
5.700900e+02 5.922323e-01
5.746800e+02 6.041754e-01
5.793000e+02 6.163561e-01
5.839500e+02 6.287644e-01
5.886500e+02 6.414201e-01
5.933800e+02 6.543209e-01
5.981500e+02 6.674805e-01
6.029600e+02 6.809061e-01
6.078000e+02 6.946044e-01
6.126900e+02 7.085720e-01
6.176100e+02 7.228244e-01
6.225800e+02 7.373765e-01
6.275800e+02 7.522227e-01
6.326300e+02 7.674866e-01
6.377100e+02 7.830624e-01
6.428400e+02 7.991592e-01
6.480100e+02 8.155810e-01
6.532200e+02 8.324734e-01
6.584700e+02 8.497261e-01
6.637600e+02 8.673340e-01
6.691000e+02 8.853105e-01
6.744700e+02 9.030150e-01
6.799000e+02 9.210392e-01
6.853600e+02 9.388482e-01
6.908700e+02 9.569719e-01
6.964200e+02 9.752836e-01
7.020200e+02 9.939372e-01
7.076700e+02 1.014169e+00
7.133500e+02 1.034897e+00
7.190900e+02 1.056925e+00
7.248700e+02 1.079484e+00
7.307000e+02 1.102518e+00
7.365700e+02 1.126027e+00
7.424900e+02 1.150050e+00
7.484600e+02 1.174581e+00
7.544800e+02 1.199644e+00
7.605400e+02 1.225242e+00
7.666500e+02 1.251467e+00
7.728200e+02 1.278261e+00
7.790300e+02 1.305864e+00
7.852900e+02 1.334088e+00
7.916000e+02 1.363106e+00
7.979700e+02 1.392770e+00
8.043800e+02 1.423095e+00
8.108500e+02 1.454074e+00
8.173700e+02 1.485726e+00
8.239400e+02 1.518073e+00
8.305600e+02 1.551105e+00
8.372400e+02 1.584861e+00
8.439700e+02 1.619194e+00
8.507500e+02 1.654263e+00
8.575900e+02 1.689873e+00
8.644800e+02 1.726265e+00
8.714300e+02 1.763259e+00
8.784400e+02 1.801023e+00
8.855000e+02 1.839576e+00
8.926200e+02 1.878982e+00
8.997900e+02 1.919213e+00
9.070300e+02 1.960288e+00
9.143200e+02 2.002249e+00
9.216700e+02 2.045117e+00
9.290700e+02 2.089648e+00
9.365400e+02 2.135285e+00
9.440700e+02 2.182122e+00
9.516600e+02 2.229990e+00
9.593100e+02 2.279104e+00
9.670200e+02 2.329317e+00
